Time_s,full_timbre_Hz,nicki_timbre_Hz,ariana_timbre_Hz
36.04322,-26.515,0.0,-26.515
36.43079,-100.161999999999,0.0,-100.161999999999
36.61787,212.389,0.0,212.389
36.96576,194.227,0.0,194.227
37.1405,108.226,0.0,108.226
37.66857,97.473,0.0,97.473
37.95601,-192.719,0.0,-192.719
38.17723,-1.102,0.0,-1.102
38.31456,-105.105,0.0,-105.105
38.55206,-67.7779999999999,0.0,-67.7779999999999
38.8015,-128.282,0.0,-128.282
38.92893,-2.504,0.0,-2.504
39.0556,-96.8639999999999,0.0,-96.8639999999999
39.25955,-1.217,0.0,-1.217
39.57193,-11.456,0.0,-11.456
39.76921,119.814,0.0,119.814
39.9498,70.236,0.0,70.236
40.12358,21.364,0.0,21.364
40.31002,-48.8259999999999,0.0,-48.8259999999999
40.86263,-149.998,0.0,-149.998
40.99995,-130.297,0.0,-130.297
41.59909,-78.6079999999999,0.0,-78.6079999999999
41.96576,-208.783,0.0,-208.783
42.14413,-173.211,0.0,-173.211
42.43587,-76.244,0.0,-76.244
43.00304,-43.16,0.0,-43.16
43.11909,132.118,0.0,132.118
43.21819,166.050999999999,0.0,166.050999999999
43.59406,146.835999999999,0.0,146.835999999999
43.88576,129.211,0.0,129.211
44.10054,199.339,0.0,199.339
44.16422,58.8619999999999,0.0,58.8619999999999
44.6761,234.69,0.0,234.69
44.9483,244.221,0.0,244.221
45.18658,195.287999999999,0.0,195.287999999999
46.06236,50.578,0.0,50.578
46.2541,80.975,0.0,80.975
47.03846,-70.8,0.0,-70.8
47.32803,-24.6959999999999,0.0,-24.6959999999999
47.66499,46.9419999999999,0.0,46.9419999999999
48.33215,-136.468999999999,0.0,-136.468999999999
48.49057,89.804,0.0,89.804
48.95374,151.568999999999,0.0,151.568999999999
49.96912,-52.001,0.0,-52.001
50.09633,-104.321999999999,0.0,-104.321999999999
50.46413,-40.2839999999999,0.0,-40.2839999999999
51.19016,-66.8809999999999,0.0,-66.8809999999999
51.59905,-129.677,0.0,-129.677
52.24576,155.756,0.0,155.756
52.47143,124.507,0.0,124.507
52.68005,93.7759999999999,0.0,93.7759999999999
52.74408,-11.3109999999999,0.0,-11.3109999999999
52.96494,174.268,0.0,174.268
53.23782,181.638,0.0,181.638
53.52236,118.408999999999,0.0,118.408999999999
53.76009,113.997,0.0,113.997
54.13678,249.084999999999,0.0,249.084999999999
54.4161,181.004,0.0,181.004
54.6356,-39.256,0.0,-39.256
54.82268,-77.565,0.0,-77.565
54.91696,183.295,0.0,183.295
55.63483,-24.8699999999999,0.0,-24.8699999999999
55.89238,-200.131,0.0,-200.131
55.97955,39.287,0.0,39.287
56.19229,47.927,0.0,47.927
56.95147,-66.189,0.0,-66.189
57.06966,36.9319999999999,0.0,36.9319999999999
57.56213,211.518999999999,0.0,211.518999999999
58.40984,69.4489999999999,0.0,69.4489999999999
58.5615,48.143,0.0,48.143
58.74558,52.161,0.0,52.161
59.06608,67.3999999999999,0.0,67.3999999999999
59.98766,89.317,0.0,89.317
60.18045,146.044999999999,0.0,146.044999999999
60.72599,224.257999999999,0.0,224.257999999999
61.03937,164.686999999999,0.0,164.686999999999
61.28295,616.812,0.0,616.812
61.63066,259.881999999999,0.0,259.881999999999
61.79973,324.775,0.0,324.775
62.15878,210.025,0.0,210.025
62.35125,256.547,0.0,256.547
62.68281,1.59699999999997,0.0,1.59699999999997
62.88458,195.123,0.0,195.123
63.21655,48.8129999999999,0.0,48.8129999999999
63.39605,9.249,0.0,9.249
63.72735,-21.425,0.0,-21.425
63.93714,-38.5739999999999,0.0,-38.5739999999999
64.03488,185.015999999999,0.0,185.015999999999
64.3302,14.9619999999999,0.0,14.9619999999999
64.84739,45.6039999999999,0.0,45.6039999999999
65.02735,56.362,0.0,56.362
65.38063,94.242,0.0,94.242
65.53814,8.06200000000001,0.0,8.06200000000001
65.94322,31.471,0.0,31.471
66.08961,-2.44299999999999,0.0,-2.44299999999999
66.27678,-116.149,0.0,-116.149
66.52381,-106.224,0.0,-106.224
66.61755,10.064,0.0,10.064
66.74658,26.373,0.0,26.373
66.9302,-2.93599999999999,0.0,-2.93599999999999
67.04531,57.061,0.0,57.061
67.53501,-14.6959999999999,0.0,-14.6959999999999
67.66322,107.722999999999,0.0,107.722999999999
68.23855,10.831,0.0,10.831
68.39955,63.0479999999999,0.0,63.0479999999999
68.5858,43.109,0.0,43.109
69.09025,104.219,0.0,104.219
69.3346,189.647,0.0,189.647
69.55093,58.4379999999999,0.0,58.4379999999999
69.79333,312.434,0.0,312.434
70.08948,159.158,0.0,159.158
70.29306,171.458,0.0,171.458
70.60036,192.137,0.0,192.137
70.70517,164.351999999999,0.0,164.351999999999
70.91256,45.929,0.0,45.929
71.35043,-65.734,0.0,-65.734
71.64952,-22.172,0.0,-22.172
71.93655,76.87,0.0,76.87
72.19769,343.287999999999,0.0,343.287999999999
72.35361,109.878,0.0,109.878
72.51147,39.629,0.0,39.629
73.13143,-5.14699999999999,0.0,-5.14699999999999
73.50703,12.2839999999999,0.0,12.2839999999999
73.80444,103.231,0.0,103.231
74.36163,210.799,0.0,210.799
